_id,makerCode,makerNameKo,makerNameEn,makerUpdateTime
1,hyd,현대,Hyundai,20230421162533
2,kia,기아,Kia,20230421162533
3,ssy,쌍용,SsangYong,20230421162533
4,rss,르노삼성,Samsung,20230421162533
5,chv,쉐보레,Chevrolet,20230421162533
6,gmt,GMC,GMC,20230421162533
7,bmw,BMW,BMW,20230421162533
8,vsw,폭스바겐,Volkswagen,20230421162533
9,mbz,메르세데스-벤츠,Mercedes-Benz,20230421162533
10,aud,아우디,Audi,20230421162533
11,vlv,볼보,Volvo,20230421162533
12,tyt,도요타,Toyota,20230421162533
13,lex,렉서스,Lexus,20230421162533
14,hda,혼다,Honda,20230421162533
15,nss,닛산,Nissan,20230421162533
16,pgt,푸조,Peugeot,20230421162533
17,jep,지프,Jeep,20230421162533
18,frd,포드,Ford,20230421162533
19,lcn,링컨,Lincoln,20230421162533
20,chr,크라이슬러,Chrysler,20230421162533
21,ddg,닷지,Dodge,20230421162533
22,lrr,랜드로버,Land Rover,20230421162533
23,jgr,재규어,Jaguar,20230421162533
24,tsl,테슬라,Tesla Motors,20230421162533
25,bck,뷰익,Buick,20230421162533
26,cdl,캐딜락,Cadillac,20230421162533
27,stn,새턴,Saturn,20230421162533
28,kth,켄워스,Kenworth,20230421162533
29,mzd,마쓰다,Mazda,20230421162533
30,mcr,머큐리,Mercury,20230421162533
31,rrc,롤스로이스,Rolls Royce,20230421162533
32,btl,벤틀리,Bentley,20230421162533
33,lts,로터스,Lotus,20230421162533
34,isz,이스즈,Isuzu,20230421162533
35,fat,피아트,Fiat,20230421162533
36,pch,포르셰,Porsche,20230421162533
37,mst,마세라티,Maserati,20230421162533
38,lbg,람보르기니,Lamborghini,20230421162533
39,bgt,부가티,Bugatti,20230421162533
40,frr,페라리,Ferrari,20230421162533
41,pot,폰티악,Pontiac,20230421162533
42,msb,미츠비시,Mitsubishi,20230421162533
43,ctr,시트로엥,Citroen,20230421162533
44,ftl,프레이트라이너,Freightliner,20230421162533
45,sca,스카니아,Scania,20230421162533
46,faw,FAW,FAW,20230421162533
47,yma,야마하,Yamaha,20230421162533
48,rnt,르노,Renault,20230421162533
50,inf,인피니티,Infiniti,20230421162533
51,acr,어큐라,Acura,20230421162533
52,arm,알파 로메오,Alfa Romeo,20230421162533
53,amt,애스턴 마틴,Aston Martin,20230421162533
54,min,미니,MINI,20230421162533
55,sab,사브,SAAB,20230421162533
56,scn,사이언,Scion,20230421162533
57,sea,세아트,SEAT,20230421162533
58,skd,스코다,Skoda,20230421162533
59,szk,스즈키,Suzuki,20230421162533
60,sbr,스바루,Subaru,20230421162533
62,ope,오펠,Opel,20230421162533
63,lad,라다,LADA,20230421162533
64,abt,아바쓰,Abarth,20230421162533
65,apo,알페온,Alpheon,20230421162533
66,bgw,보그바르트,Borgward,20230421162533
67,dsa,DS,DS,20230421162533
68,dca,다치아,Dacia,20230421162533
69,dwo,대우,Daewoo,20230421162533
70,dht,다이하쓰,Daihatsu,20230421162533
71,dts,닷선,Datsun,20230421162533
73,hod,홀덴,Holden,20230421162533
74,hum,허머,Hummer,20230421162533
75,ktm,KTM,KTM,20230421162533
76,lca,란치아,Lancia,20230421162533
77,lge,리지에,Ligier,20230421162533
78,mla,맥라렌,McLaren,20230421162533
79,pgn,파가니,Pagani,20230421162533
80,prt,프로톤,Proton,20230421162533
81,ram,RAM,RAM,20230421162533
82,rvn,레이본,Ravon,20230421162533
83,rov,로버,Rover,20230421162533
84,shb,쉘비,Shelby,20230421162533
85,smt,스마트,Smart,20230421162533
86,spk,스파이커,Spyker,20230421162533
87,tat,타타,Tata,20230421162533
88,vxh,복스홀,Vauxhall,20230421162533
89,gns,제네시스,Genesis,20230421162533
90,mhd,마힌드라,Mahindra,20230421162533
91,chy,체리,Chery,20230421162533
92,lif,리판,Lifan,20230421162533
93,mgs,MG,MG,20230421162533
94,gwm,GWM,GWM,20230421162533
95,hvl,HAVAL,HAVAL,20230421162533
96,wey,WEY,WEY,20230421162533
97,ora,ORA,ORA,20230421162533
98,gly,GEELY,GEELY,20230421162533
99,ivc,이베코,IVECO,20230421162533
100,jac,JAC,JAC,20230421162533
101,drm,DR,DR,20230421162533
